week	type	title	by	date	tracks	len_raw	len_fmt
17	Single	恋のビギナーなんです (T_T)	山口理恵		6	1705s	28:25
17	Single	STARCAMP EP	水樹奈々	2008-02-06	4	1061s	17:41
17	Single	Trickster	水樹奈々	2008-10-01	3	734s	12:14
17	Single	青い栞	Galileo Galilei	2011-06-15	3	998s	16:38
17	Single	secret base ～君がくれたもの～	本间芽衣子&安城鸣子&鹤见知利子	2011-04-27	4	1264s	21:04
17	Single	Happy Girl	喜多村英梨	2011-08-10	4	973s	16:13
17	Single	Coloring	堀江由衣	2012-01-18	4	946s	15:46
17	Single	PARTY PLAY	野川さくら	2009-05-27	4	1022s	17:02
17	Single	果てしない世界	YMCK	2009-08-26	1	215s	3:35
17	Single	塞尘のパンドラ	野川さくら	2009-08-05		s	s
17	Single	LEVEL∞	長谷川明子	2009-08-05	6	1898s	31:38
17	Single	KURENAI	宮崎羽衣	2007-11-21	4	1122s	18:42
17	Single	Erinyes	BETTA FLASH	2007-11-21	4	1405s	23:25
17	Single	First kiss	ICHIKO	2006-07-23	4	976s	16:16
17	Single	ホントノキモチ	ルイズ(CV：釘宮理恵)	2006-08-09	4	1048s	17:28
17	Single	I SAY YES	ICHIKO	2007-07-25	4	928s	15:28
17	Single	スキ? キライ!? スキ!!!	ルイズ(CV：釘宮理恵)	2007-08-08	4	1150s	19:10
19	Album	0181	00110100 01010100	2013-01-15	16	2280 s	38:00
19	Album	871	00110100 01010100	2020-12-25	20	3900 s	1:05:00
19	Album	東方乙女囃子	IOSYS	2006-08-13	12	45.65 min	45:39
21	Anime	やがて君になる				?	?
22	OST	Titanic: Music from the Motion Picture Soundtrack	James Horner	1997-11-18	15	4351 s	1:12:31
22	OST	Jumanji: Original Motion Picture Soundtrack	James Horner	1995-11-21	13	51 min	51:00
22	EP	Calling	Plum	2021-09-13	9	1637 s	27:17
22	Album	Fragment of Eden	Plum	2021-09-13	18	3780 s	1:03:00
22	Album	Harmonic Puzzle	Plum	2021-09-13	18	3569 s	59:29
22	Album	Melody From Sky	Plum	2021-09-13	15	3060 s	51:00
22	Album	Musicbox 24/7 (Side AM)	Plum	2021-09-13	12	2340 s	39:00
22	Album	Musicbox 24/7 (Side PM)	Plum	2021-09-13	12	1800 s	30:00
22	Live	HIMEHINA LIVE 2022『藍の華』	HIMEHINA	2024-04-26	32	6300 s	1:45:00
22	Live	HIMEHINA LIVE 2022『キルカと歌う希望』	HIMEHINA	2024-04-26	38	7260 s	2:01:00
22	Tokusatsu	ウルトラマン 80				?	?
22	Album	Cottage Rain	Whispering Landscapes	2021-01-15	12	24min	24:00
22	Album	Frozen Streams	Whispering Landscapes	2021-02-01	12	26min	26:00
22	Album	2号餐	南拳妈妈	2005-08-12	12	2897s	48:17
22	Live	HIMEHINA LIVE 2023『提灯暗航、夏をゆく』	HIMEHINA	2024-04-26	39	7620s	2:07:00
22	Live	HIMEHINA LIVE 2024『涙の薫りがする』	HIMEHINA	2026-03-13	41	7440s	2:04:00
22	Album	Kick's For Liberation	USAO	2009-05-05	13	4160s	1:09:20
23	Compilation	AD:Nearly 130	Diverse System	2009-10-11	9	3400s	56:40
23	Album	女生宿舍	S.H.E	2001-09-11	10	2520s	42:00
23	Album	青春株式会社	S.H.E	2002-01-29	10	2404s	40:04
23	Album	美丽新世界	S.H.E	2002-08-05	10	2520s	42:00
23	Album	Please Please Me	The Beatles	1963-03-22	14	1919s	31:59
23	Compilation	AD:Nearly 140	Diverse System	2010-10-31	12	4090s	1:08:10
23	Album	Kick's For Liberation 2	USAO	2010-10-31	11	3351s	55:51
23	Album	Kick's For Liberation 3	USAO	2011-10-30	8	2060s	34:20
23	Compilation	AD:Nearly 180	Diverse System	2011-05-01	13	3692 s	1:01:32
23	Anime	BIRDIE WING -Golf Girls' Story-				?	?
23	Album	乐行者	林俊杰	2003-04-10	11	2469 s	41:09
24	Album	Fahrenheit	飞轮海	2006-09-15	11	2962 s	49:22
24	Album	第二天堂	林俊杰	2004-06-04	15	3617s	1:00:17
24	Anime	BIRDIE WING -Golf Girls' Story- Season 2				?	?
